"DirectedEdge[2063, 8418]","DirectedEdge[8418, 2063]","{1, 1}"
"DirectedEdge[720, 720]","DirectedEdge[720, 720]","{139, 139}"
"DirectedEdge[2063, 1057]","DirectedEdge[1057, 2063]","{2, 1}"
"DirectedEdge[1403, 482]","DirectedEdge[482, 1403]","{1, 1}"
"DirectedEdge[1403, 541]","DirectedEdge[541, 1403]","{2, 3}"
"DirectedEdge[4883, 7877]","DirectedEdge[7877, 4883]","{3, 2}"
"DirectedEdge[1403, 7877]","DirectedEdge[7877, 1403]","{1, 11}"
"DirectedEdge[2063, 1347]","DirectedEdge[1347, 2063]","{1, 2}"
"DirectedEdge[2063, 14991]","DirectedEdge[14991, 2063]","{1, 1}"
"DirectedEdge[2063, 488]","DirectedEdge[488, 2063]","{1, 13}"
"DirectedEdge[1403, 488]","DirectedEdge[488, 1403]","{1, 11}"
"DirectedEdge[1122, 870]","DirectedEdge[870, 1122]","{1, 1}"
"DirectedEdge[488, 3446]","DirectedEdge[3446, 488]","{5, 2}"
"DirectedEdge[1012, 870]","DirectedEdge[870, 1012]","{10, 1}"
"DirectedEdge[729, 3299]","DirectedEdge[3299, 729]","{7, 87}"
"DirectedEdge[927, 4553]","DirectedEdge[4553, 927]","{1, 1}"
"DirectedEdge[927, 539]","DirectedEdge[539, 927]","{15, 2}"
"DirectedEdge[3649, 8617]","DirectedEdge[8617, 3649]","{13, 1}"
"DirectedEdge[3579, 8617]","DirectedEdge[8617, 3579]","{1, 2}"
"DirectedEdge[2772, 2772]","DirectedEdge[2772, 2772]","{6, 6}"
"DirectedEdge[982, 5231]","DirectedEdge[5231, 982]","{5, 2}"
"DirectedEdge[982, 407]","DirectedEdge[407, 982]","{3, 1}"
"DirectedEdge[927, 1863]","DirectedEdge[1863, 927]","{8, 1}"
"DirectedEdge[927, 2156]","DirectedEdge[2156, 927]","{1, 1}"
"DirectedEdge[2122, 1600]","DirectedEdge[1600, 2122]","{14, 1}"
"DirectedEdge[181, 2150]","DirectedEdge[2150, 181]","{2, 3}"
"DirectedEdge[3793, 541]","DirectedEdge[541, 3793]","{40, 1}"
"DirectedEdge[6343, 482]","DirectedEdge[482, 6343]","{1, 1}"
"DirectedEdge[927, 6248]","DirectedEdge[6248, 927]","{2, 2}"
"DirectedEdge[8169, 502]","DirectedEdge[502, 8169]","{9, 1}"
"DirectedEdge[1610, 462]","DirectedEdge[462, 1610]","{4, 1}"
"DirectedEdge[927, 7457]","DirectedEdge[7457, 927]","{2, 5}"
"DirectedEdge[2163, 9]","DirectedEdge[9, 2163]","{74, 4}"
"DirectedEdge[2492, 927]","DirectedEdge[927, 2492]","{2, 1}"
"DirectedEdge[927, 927]","DirectedEdge[927, 927]","{4, 4}"
"DirectedEdge[6388, 927]","DirectedEdge[927, 6388]","{87, 2}"
"DirectedEdge[4051, 927]","DirectedEdge[927, 4051]","{14, 2}"
"DirectedEdge[1702, 927]","DirectedEdge[927, 1702]","{14, 1}"
